GO term	GOID	FULL GOID	cellular location
HICS complex	44697	GO:0044697	intracellular
high affinity iron permease complex	33573	GO:0033573	plasma membrane
HIR complex	417	GO:0000417	nucleus
Holliday junction resolvase complex	48476	GO:0048476	nucleus
HOPS complex	30897	GO:0030897	membrane
Hrd1p ubiquitin ligase ERAD-L complex	839	GO:0000839	endoplasmic reticulum membrane
Hrd1p ubiquitin ligase ERAD-M complex	838	GO:0000838	endoplasmic reticulum membrane
i-AAA complex	31942	GO:0031942	mitochondrial inner membrane
Iml1 complex	1990130	GO:1990130	intracellular
Ino80 complex	31011	GO:0031011	nucleus
inositol phosphoceramide synthase complex	70916	GO:0070916	Golgi apparatus
kinesin complex	5871	GO:0005871	microtubule cytoskeleton
Ku70:Ku80 complex	43564	GO:0043564	nucleus
luminal surveillance complex	34099	GO:0034099	endoplasmic reticulum lumen
m-AAA complex	5745	GO:0005745	mitochondrial inner membrane
MBF transcription complex	30907	GO:0030907	nucleus
MCM complex	42555	GO:0042555	nucleus
mediator complex	16592	GO:0016592	nucleoplasm
methionyl glutamyl tRNA synthetase complex	17102	GO:0017102	cytoplasm
MIS complex	36396	GO:0036396	intracellular
mitochondrial degradosome	45025	GO:0045025	mitochondrion
mitochondrial DNA-directed RNA polymerase complex	34245	GO:0034245	mitochondrion
mitochondrial inner membrane peptidase complex	42720	GO:0042720	mitochondrial inner membrane
mitochondrial inner membrane presequence translocase complex	5744	GO:0005744	mitochondrial inner membrane
mitochondrial inner membrane protein insertion complex	42721	GO:0042721	mitochondrial inner membrane
mitochondrial intermembrane space protein transporter complex	42719	GO:0042719	mitochondrial intermembrane space
mitochondrial isocitrate dehydrogenase complex (NAD+)	5962	GO:0005962	mitochondrial matrix
mitochondrial outer membrane translocase complex	5742	GO:0005742	mitochondrial outer membrane
mitochondrial oxoglutarate dehydrogenase complex	9353	GO:0009353	mitochondrial matrix
mitochondrial processing peptidase complex	17087	GO:0017087	mitochondrial matrix
mitochondrial proton-transporting ATP synthase complex	5753	GO:0005753	mitochondrial inner membrane
mitochondrial pyruvate dehydrogenase complex	5967	GO:0005967	mitochondrial matrix
mitochondrial respiratory chain complex II	5749	GO:0005749	mitochondrial inner membrane
mitochondrial respiratory chain complex III	5750	GO:0005750	mitochondrial inner membrane
mitochondrial respiratory chain complex IV	5751	GO:0005751	mitochondrial inner membrane
mitochondrial ribonuclease P complex	30678	GO:0030678	mitochondrion
mitochondrial sorting and assembly machinery complex	1401	GO:0001401	mitochondrial outer membrane
mitotic checkpoint complex	33597	GO:0033597	nucleus
Mon1-Ccz1 complex	35658	GO:0035658	late endosome
monopolin complex	33551	GO:0033551	nucleus
Mre11 complex	30870	GO:0030870	nucleus
mRNA cap binding complex	5845	GO:0005845	intracellular
mRNA cap methyltransferase complex	31533	GO:0031533	nucleus
mRNA cleavage and polyadenylation specificity factor complex	5847	GO:0005847	nucleoplasm
MutLalpha complex	32389	GO:0032389	nucleus
MutLbeta complex	32390	GO:0032390	nucleus
MutSalpha complex	32301	GO:0032301	nucleus
MutSbeta complex	32302	GO:0032302	nucleus
Myo2p-Vac17p-Vac8p transport complex	71563	GO:0071563	cytoplasm
myosin II complex	16460	GO:0016460	cytoskeleton
myosin V complex	31475	GO:0031475	cytoskeleton
nascent polypeptide-associated complex	5854	GO:0005854	cytoplasm
NatA complex	31415	GO:0031415	cytoplasm
NatB complex	31416	GO:0031416	cytoplasm
NatC complex	31417	GO:0031417	cytoplasm
Ndc80 complex	31262	GO:0031262	nucleus
negative cofactor 2 complex	17054	GO:0017054	nucleoplasm
Nem1-Spo7 phosphatase complex	71595	GO:0071595	nuclear outer membrane-endoplasmic reticulum membrane network
Nrd1 complex	35649	GO:0035649	nucleus
NuA3 histone acetyltransferase complex	33100	GO:0033100	nucleoplasm
NuA4 histone acetyltransferase complex	35267	GO:0035267	nucleoplasm
nuclear cap binding complex	5846	GO:0005846	nucleus
nuclear cohesin complex	798	GO:0000798	nucleus
nuclear condensin complex	799	GO:0000799	nucleus
nuclear exosome (RNase complex)	176	GO:0000176	nucleus
nuclear MIS12/MIND complex	818	GO:0000818	nucleus
nuclear nucleosome	788	GO:0000788	nucleus
nuclear origin of replication recognition complex	5664	GO:0005664	nucleus
nuclear pore	5643	GO:0005643	nuclear envelope
nuclear RNA export factor complex	42272	GO:0042272	nucleoplasm
nuclear telomere cap complex	783	GO:0000783	nucleus
nucleolar ribonuclease P complex	5655	GO:0005655	nucleolus
nucleoplasmic THO complex	446	GO:0000446	nucleoplasm
nucleotide-excision repair factor 1 complex	110	GO:0000110	nucleus
nucleotide-excision repair factor 3 complex	112	GO:0000112	nucleus
nucleotide-excision repair factor 4 complex	113	GO:0000113	nucleus
oligosaccharyltransferase complex	8250	GO:0008250	endoplasmic reticulum membrane
PAN complex	31251	GO:0031251	cytoplasm
PAS complex	70772	GO:0070772	vacuolar membrane
phenylalanine-tRNA ligase complex	9328	GO:0009328	cytoplasm
phosphatidylinositol 3-kinase complex I	34271	GO:0034271	cytosol
phosphatidylinositol 3-kinase complex II	34272	GO:0034272	cytosol
phosphopantothenoylcysteine decarboxylase complex	71513	GO:0071513	cytoplasm
phosphopyruvate hydratase complex	15	GO:0000015	cytosol
Piccolo NuA4 histone acetyltransferase complex	32777	GO:0032777	nucleoplasm
polarisome	133	GO:0000133	site of polarized growth
prefoldin complex	16272	GO:0016272	cytosol
presequence translocase-associated import motor	1405	GO:0001405	mitochondrial inner membrane
proteasome complex	502	GO:0000502	intracellular
protein farnesyltransferase complex	5965	GO:0005965	cytoplasm
protein kinase CK2 complex	5956	GO:0005956	cytoplasm
protein phosphatase type 1 complex	164	GO:0000164	cytoplasm
protein phosphatase type 2A complex	159	GO:0000159	intracellular
Prp19 complex	974	GO:0000974	intracellular
R2TP complex	97255	GO:0097255	intracellular
Rab-protein geranylgeranyltransferase complex	5968	GO:0005968	cytoplasm
Rad17 RFC-like complex	31389	GO:0031389	nucleus
RAVE complex	43291	GO:0043291	cytoplasm
RecQ helicase-Topo III complex	31422	GO:0031422	nucleus
RENT complex	30869	GO:0030869	nucleolus
replication fork protection complex	31298	GO:0031298	nucleus
RES complex	70274	GO:0070274	nucleus
retromer complex	30904	GO:0030904	endomembrane system
Rhp55-Rhp57 complex	33062	GO:0033062	nucleus
ribonuclease H2 complex	32299	GO:0032299	intracellular
ribonuclease MRP complex	172	GO:0000172	intracellular
ribonucleoside-diphosphate reductase complex	5971	GO:0005971	cytoplasm
Ric1p-Rgp1p complex	34066	GO:0034066	Golgi apparatus
Rix1 complex	97344	GO:0097344	nucleus
RNA polymerase I core factor complex	70860	GO:0070860	nucleolus
RNA polymerase I upstream activating factor complex	500	GO:0000500	nucleolus
Rpd3L complex	33698	GO:0033698	nucleus
Rpd3S complex	32221	GO:0032221	nucleus
RQC complex	1990112	GO:1990112	cytoplasm
RSC complex	16586	GO:0016586	nucleus
SAGA complex	124	GO:0000124	nucleoplasm
SAS acetyltransferase complex	33255	GO:0033255	nucleus
SBF transcription complex	33309	GO:0033309	nucleus
SCF ubiquitin ligase complex	19005	GO:0019005	intracellular
Sec61 translocon complex	5784	GO:0005784	endoplasmic reticulum membrane
Sec62/Sec63 complex	31207	GO:0031207	endoplasmic reticulum membrane
Seh1-associated complex	35859	GO:0035859	vacuolar membrane
Set1C/COMPASS complex	48188	GO:0048188	nucleoplasm
Set3 complex	34967	GO:0034967	nucleus
Shu complex	97196	GO:0097196	nucleus
signal peptidase complex	5787	GO:0005787	endoplasmic reticulum membrane
signal recognition particle receptor complex	5785	GO:0005785	endoplasmic reticulum membrane
signal recognition particle, endoplasmic reticulum targeting	5786	GO:0005786	cytoplasm
Ski complex	55087	GO:0055087	cytoplasm
SLIK (SAGA-like) complex	46695	GO:0046695	nucleoplasm
Slx1-Slx4 complex	33557	GO:0033557	nucleus
SMC loading complex	32116	GO:0032116	nucleus
Smc5-Smc6 complex	30915	GO:0030915	nucleus
Snt2C complex	70211	GO:0070211	nucleus
SPOTS complex	35339	GO:0035339	endoplasmic reticulum membrane
Ssh1 translocon complex	71261	GO:0071261	endoplasmic reticulum membrane
sulfite reductase complex (NADPH)	9337	GO:0009337	intracellular
SUMO activating enzyme complex	31510	GO:0031510	nucleus
SWI/SNF complex	16514	GO:0016514	nucleus
Swr1 complex	812	GO:0000812	nucleus
telomerase holoenzyme complex	5697	GO:0005697	nucleus
THO complex part of transcription export complex	445	GO:0000445	nucleus
TORC1 complex	31931	GO:0031931	intracellular
TORC2 complex	31932	GO:0031932	intracellular
TRAMP complex	31499	GO:0031499	nucleus
transcription export complex	346	GO:0000346	nucleus
transcription export complex 2	70390	GO:0070390	nucleus
transcription factor TFIIIB complex	126	GO:0000126	nucleus
transcription factor TFIIIC complex	127	GO:0000127	nucleus
translation release factor complex	18444	GO:0018444	cytoplasm
TRAPP complex	30008	GO:0030008	intracellular
TRC complex	72380	GO:0072380	cytosol
trimeric positive transcription elongation factor complex b	70692	GO:0070692	nucleoplasm
tRNA (m1A) methyltransferase complex	31515	GO:0031515	cytoplasm
tRNA (m2G10) methyltransferase complex	43528	GO:0043528	cytoplasm
tRNA-intron endonuclease complex	214	GO:0000214	nucleus
U1 snRNP	5685	GO:0005685	nucleus
U2 snRNP	5686	GO:0005686	nucleus
U4/U6 x U5 tri-snRNP complex	46540	GO:0046540	nucleus
U5 snRNP	5682	GO:0005682	nucleus
U6 snRNP	5688	GO:0005688	nucleus
UDP-N-acetylglucosamine transferase complex	43541	GO:0043541	endoplasmic reticulum membrane
vacuolar proton-transporting V-type ATPase, V0 domain	220	GO:0000220	vacuolar membrane
vacuolar proton-transporting V-type ATPase, V1 domain	221	GO:0000221	vacuolar membrane
vacuolar transporter chaperone complex	33254	GO:0033254	cytoplasm
Vps55/Vps68 complex	34424	GO:0034424	endosome membrane
zeta DNA polymerase complex	16035	GO:0016035	nucleus
